comparison	predictor_family	predictor_context	ngram_context	context_limited_context	layer	folds	delta_predictor_given_layer_mean	delta_predictor_given_layer_se	delta_layer_given_predictor_mean	delta_layer_given_predictor_se	delta_n_given_l_mean	delta_n_given_l_se	delta_l_given_n_mean	delta_l_given_n_se	delta_c_given_l_mean	delta_c_given_l_se	delta_l_given_c_mean	delta_l_given_c_se
ngram_vs_internal_layer	ngram	1	1	NA	4	5	-0.713500728755401	0.51833851877454	-0.844029386812775	0.540411304132797	-0.713500728755401	0.51833851877454	-0.844029386812775	0.540411304132797	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	1	1	NA	5	5	-0.671998509262199	0.439568905595	-0.733224434169665	0.390487732275755	-0.671998509262199	0.439568905595	-0.733224434169665	0.390487732275755	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	1	1	NA	6	5	-0.597986853423934	0.372761409446943	-0.64233388458359	0.293421346330235	-0.597986853423934	0.372761409446943	-0.64233388458359	0.293421346330235	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	1	1	NA	7	5	-0.543007357747147	0.303919218441938	-0.594041195986022	0.205754468977711	-0.543007357747147	0.303919218441938	-0.594041195986022	0.205754468977711	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	1	1	NA	8	5	-0.532154391802224	0.258361807052628	-0.590212464175225	0.167424005894015	-0.532154391802224	0.258361807052628	-0.590212464175225	0.167424005894015	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	1	1	NA	9	5	-0.470576378056768	0.250727688803902	-0.518485811453485	0.196625606253587	-0.470576378056768	0.250727688803902	-0.518485811453485	0.196625606253587	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	1	1	NA	10	5	-0.244637817878264	0.169743301868094	-0.29648558641276	0.0855605647354325	-0.244637817878264	0.169743301868094	-0.29648558641276	0.0855605647354325	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	1	1	NA	11	5	-0.223533002194753	0.183710194293722	-0.288117664871873	0.0823711228502078	-0.223533002194753	0.183710194293722	-0.288117664871873	0.0823711228502078	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	1	1	NA	12	5	-0.288219419744569	0.239694773059971	-0.331679161076427	0.147118447972182	-0.288219419744569	0.239694773059971	-0.331679161076427	0.147118447972182	NA	NA	NA	NA
ngram_vs_internal_layer	ngram	2	2	NA	1	5	-0.172055866694044	0.274416348941213	-0.297946623122377	0.133086286421023	-0.172055866694044	0.274416348941213	-0.297946623122377	0.133086286421023	NA	NA	NA	NA
