comparison	predictor_family	predictor_context	ngram_context	context_limited_context	layer	fold	n_train	n_test	ll_m0_mean	ll_predictor_mean	ll_layer_mean	ll_joint_mean	delta_predictor_given_layer_mean	delta_layer_given_predictor_mean	delta_n_given_l_mean	delta_l_given_n_mean	delta_c_given_l_mean	delta_l_given_c_mean	ll_m0_sum	ll_predictor_sum	ll_layer_sum	ll_joint_sum	delta_predictor_given_layer_sum	delta_layer_given_predictor_sum	delta_n_given_l_sum	delta_l_given_n_sum	delta_c_given_l_sum	delta_l_given_c_sum
ngram_vs_internal_layer	ngram	0	0	NA	4	5	409	45	-4.44826430396403	-4.41101620290392	-4.42402994082059	-4.41415423618776	0.00987570463282861	-0.00313803328383599	0.00987570463282861	-0.00313803328383599	NA	NA	-200.171893678381	-198.495729130677	-199.081347336926	-198.636940628449	0.444406708477317	-0.141211497772588	0.444406708477317	-0.141211497772588	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	4	6	409	45	-4.63368851310806	-4.56754334762109	-4.58713817901021	-4.55356509806302	0.0335730809471917	0.0139782495580647	0.0335730809471917	0.0139782495580647	NA	NA	-208.515983089863	-205.539450642949	-206.42121805546	-204.910429412836	1.51078864262365	0.629021230112926	1.51078864262365	0.629021230112926	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	4	7	408	46	-4.99254488935761	-5.03580322406541	-4.92938745279561	-5.00070976190072	-0.0713223091051116	0.0350934621646868	-0.0713223091051116	0.0350934621646868	NA	NA	-229.65706491045	-231.646948307009	-226.751822828598	-230.032649047433	-3.28082621883513	1.6142992595756	-3.28082621883513	1.6142992595756	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	4	8	409	45	-4.50404071539604	-4.49563359315298	-4.43109112291487	-4.44243276752606	-0.0113416446111847	0.0532008256269281	-0.0113416446111847	0.0532008256269281	NA	NA	-202.681832192822	-202.303511691884	-199.399100531169	-199.909474538673	-0.510374007503316	2.39403715321174	-0.510374007503316	2.39403715321174	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	4	9	409	45	-4.58087065183731	-4.4871587000908	-4.53902138470343	-4.51618726332146	0.0228341213819752	-0.0290285632306535	0.0228341213819752	-0.0290285632306535	NA	NA	-206.139179332679	-201.922141504086	-204.255962311654	-203.228426849466	1.02753546218887	-1.30628534537939	1.02753546218887	-1.30628534537939	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	4	10	408	46	-4.76365841592551	-4.79601619546453	-4.713317550556	-4.74943897526483	-0.0361214247088366	0.0465772201996959	-0.0361214247088366	0.0465772201996959	NA	NA	-219.128287132574	-220.616744991368	-216.812607325576	-218.474192862182	-1.66158553660648	2.14255212918602	-1.66158553660648	2.14255212918602	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	5	1	408	46	-4.48649557711874	-4.4739699965859	-4.54246128377866	-4.5185105758047	0.0239507079739543	-0.0445405792188067	0.0239507079739543	-0.0445405792188067	NA	NA	-206.378796547462	-205.802619842951	-208.953219053818	-207.851486487016	1.1017325668019	-2.04886664406507	1.1017325668019	-2.04886664406507	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	5	2	409	45	-4.55227129162572	-4.49023150938962	-4.49740364937487	-4.46398918253392	0.0334144668409531	0.0262423268556962	0.0334144668409531	0.0262423268556962	NA	NA	-204.852208123157	-202.060417922533	-202.383164221869	-200.879513214026	1.5036510078429	1.18090470850632	1.5036510078429	1.18090470850632	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	5	3	409	45	-4.83691345434996	-4.72583133026769	-4.76371127748985	-4.70206275989356	0.0616485175962849	0.0237685703741244	0.0616485175962849	0.0237685703741244	NA	NA	-217.661105445748	-212.662409862046	-214.367007487043	-211.59282419521	2.77418329183283	1.06958566683562	2.77418329183283	1.06958566683562	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	5	4	408	46	-4.84394400575021	-4.89578396764768	-4.76078966636345	-4.83002067974146	-0.0692310133780047	0.0657632879062229	-0.0692310133780047	0.0657632879062229	NA	NA	-222.82142426451	-225.206062511793	-218.996324652719	-222.180951268107	-3.1846266153882	3.02511124368627	-3.1846266153882	3.02511124368627	NA	NA
